Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
08/11/2016,487.05,492.45,483.25,491.55,490.85,7460548,36463.52
07/11/2016,484.75,489.45,482.05,483.9,485.4,6990315,33946.28
04/11/2016,474.4,485.7,474.2,478,478.7,10868004,52200.09
03/11/2016,475.5,479.8,473.65,476,475.85,6631504,31592.13
02/11/2016,469.8,480.5,468.1,476.05,476.8,9885845,46867.32
01/11/2016,488.05,488.05,474.45,475.1,475.8,10425548,49982.55
30/10/2016,490,491,486.2,486.8,487.7,937701,4581.79
28/10/2016,486.9,494,484.55,487,486.9,12688495,61916.37
27/10/2016,485,489.6,477.3,487,485.65,17198496,83300.24
26/10/2016,499,502,484.5,485.25,487.55,38780250,190009.43
25/10/2016,520.9,531.5,520.1,530.5,529.1,7356952,38768.81
24/10/2016,529.45,530,517.55,521.8,521.55,10660533,55587.18
21/10/2016,538.7,539.2,524.2,525.5,526.1,6526349,34445.31
20/10/2016,537.1,544.85,536,540,540.05,6969699,37672.87
19/10/2016,535.65,542,529.1,535.1,535.55,10754624,57644.91
18/10/2016,523.9,534.05,518.4,532.85,532.45,13532992,71135.89
17/10/2016,524.15,533.8,517.1,518.85,519,7930102,41658.07
14/10/2016,521,525,516.8,521.55,520.65,4314775,22445.19
13/10/2016,529,529.9,513.2,517.4,518.8,10008090,52324.44
10/10/2016,538,538.75,530.3,532.5,531.55,3261598,17400.04
07/10/2016,530,539.4,530,533.75,533.85,7702773,41197.38
06/10/2016,531.7,535,524.05,533.5,530.8,10646794,56347.73
05/10/2016,550,550.65,533.25,534,535.7,8222912,44409.66
04/10/2016,553,553.35,541,548,546.6,5690321,31127.05
03/10/2016,542.95,552.3,542.9,550,550.9,5276340,28987.59
30/09/2016,535,547.15,530.6,543,541.35,5781645,31239.84
29/09/2016,554.45,554.85,523.45,541,539.3,16581655,89392.92
28/09/2016,543.15,550.65,540.5,549.3,549.1,10240083,56003.29
27/09/2016,551,554.25,538.7,543.2,541,9085199,49709.84
26/09/2016,559.1,560,545.3,547,547.4,14880674,81993.12
23/09/2016,595.6,596.1,555.7,556.45,557.45,30222177,171525.65
22/09/2016,610,612,590,590.1,591.8,10205715,60969.6
21/09/2016,596.5,600.35,594.5,599,598.9,5480087,32769.12
20/09/2016,598.8,599,589.15,594.5,592.95,4538973,26892.67
19/09/2016,603,606,592.85,595,594.35,5311980,31748.09
16/09/2016,592.25,612.4,592.25,599.95,602.2,19309804,116377.32
15/09/2016,601.05,603,583.3,590,588.75,7145326,42091.28
14/09/2016,593,604.65,590.45,603.65,601.8,5915220,35369.89
12/09/2016,597.8,601.85,588.4,594.5,592.1,8471237,50225.57
09/09/2016,615.1,624.7,611.7,613.55,613.1,9795054,60468.73
08/09/2016,626,634,619.75,628.9,629.35,8039571,50347.58
07/09/2016,637.75,638.3,622.5,626.15,625.1,11869960,74838.69
06/09/2016,602.5,637.8,602.5,636.8,635.9,15252302,95174
02/09/2016,597.7,602,594.25,599.25,599.2,7279782,43525.13
01/09/2016,597.05,603,592,597.5,596.65,10204784,60943.56
31/08/2016,591.5,603.85,580.7,595.85,596.85,120541914,717955.04
30/08/2016,592,599.25,588.55,591.55,591.15,11834475,70194.53
29/08/2016,586.4,597,586,590.1,589.15,12461059,73709.47
26/08/2016,586.5,589,580.3,586.75,586.4,7531289,44034.97
25/08/2016,586.8,594,585,586,586.55,17177795,101130.38
24/08/2016,584.85,584.85,578.65,584,583.4,5835501,33950.17
23/08/2016,581.25,585,580.1,582.9,582.5,6963978,40574.65
22/08/2016,589.9,589.95,579.4,581.6,580.25,9499230,55348.22
19/08/2016,595.4,597.6,586.1,588,588.55,9209878,54415.63
18/08/2016,591.1,597.3,590.8,593.95,593.15,12089285,71884.77
17/08/2016,588.2,598,585.2,588.55,589.5,9879769,58494.42
16/08/2016,593.95,593.95,580,582.95,583.3,11126973,65081.95
12/08/2016,569.85,593.2,569.8,589.55,591,13209690,77322.55
11/08/2016,564.25,574.9,564.25,570.55,569.75,5098948,29094.33
10/08/2016,574.05,575.3,563,568,567.9,6611328,37488.46
09/08/2016,570.5,576,566.7,574.3,574.1,7958291,45533.34
08/08/2016,568.45,572.4,565.25,570.35,571.15,7360104,41899.27
05/08/2016,552.4,569,550.55,564.55,567.25,8030392,45212.88
04/08/2016,551.9,556,544.65,548.6,547.5,5769753,31713.86
03/08/2016,549.65,552.95,540.85,549.15,549.35,6489800,35508.04
02/08/2016,552,555.6,547.1,551,549.65,5749264,31710.67
01/08/2016,546.25,557.7,546.25,550.55,550.55,7026398,38792.46
29/07/2016,542.5,551.8,542.5,545.75,546.15,4861274,26605.16
28/07/2016,548.1,553.35,538.05,545.55,543.85,12174235,66185.8
27/07/2016,553.85,558.1,543.45,548.05,548.85,7787071,42707.74
26/07/2016,539.7,559.2,535.45,552,553.8,11437473,62904.42
25/07/2016,518.5,540,518.5,539.7,538.1,15701682,83429.34
22/07/2016,537.95,545.3,532.9,537,537.7,8134377,43838.61
21/07/2016,557.9,557.9,535.55,536.95,538.05,9416152,51345.77
20/07/2016,563.3,567.85,555.85,556,558.25,5258296,29500.05
19/07/2016,570.7,573.85,563.85,566,565.45,5547223,31489.83
18/07/2016,570,576.8,569,569.95,571,6641864,38053.65
15/07/2016,556.15,570.45,556,565.25,565.05,6247207,35305.85
14/07/2016,555.75,561.7,553.6,560,560.25,4020476,22470.17
13/07/2016,563.7,563.7,551.1,554.6,556.85,6365885,35438.92
12/07/2016,550,562.1,549.15,560,561,6541827,36367.81
11/07/2016,551.65,553,541.55,544.2,544.4,6082359,33264.79
08/07/2016,541,548.5,540,545.4,546.45,6016471,32733.88
07/07/2016,539.2,545.9,535.3,540.6,542.25,4650991,25253.35
05/07/2016,541.2,546.25,535.25,539.15,539.7,5219466,28233.24
04/07/2016,545.5,546.95,539.5,543,543.85,5173772,28118.87
01/07/2016,535.8,545.7,535.5,542.2,542.9,6701034,36304.77
30/06/2016,522,535.25,521,533.5,533.5,10912401,57933.91
29/06/2016,518.5,518.95,514.25,518,517.85,4721178,24395.29
28/06/2016,515,520.5,512.75,513,514,4479273,23085.5
27/06/2016,507.4,517.6,507.15,514.2,514.45,4612787,23754.78
24/06/2016,502,511.6,492.8,509,510.5,9745784,48908.69
23/06/2016,518,528,514.8,524.9,526.4,5874012,30613.85
22/06/2016,517.9,521,513.6,516.9,516.2,5374493,27840.46
21/06/2016,524.5,524.5,515.45,515.75,517.4,5301794,27530.83
20/06/2016,515,523.9,514,522.25,522.45,11335041,59043.73
17/06/2016,526.9,533.9,524.7,526.35,526.9,7201452,38175.4
16/06/2016,528,528.3,516,522.7,523.45,5375177,28079.54
15/06/2016,531.9,533.4,522.65,529.25,528.8,7836638,41354.48
14/06/2016,535.8,535.8,525.5,529.2,529.65,8234417,43564.3
13/06/2016,529.8,534.6,524,531.5,531.15,6788154,35884.9
10/06/2016,540,549.15,538.3,541.9,541.05,6382258,34679.96
09/06/2016,542.95,545.9,537.1,541.35,542.6,7019405,38046.99
08/06/2016,536.4,541.45,530.8,540.75,539,6988719,37581.84
07/06/2016,539.1,539.1,526.75,533.75,534.4,11455340,61044.16
06/06/2016,542.1,545,530.3,533.6,532.85,9416306,50390.03
03/06/2016,527.15,544.95,527,542.25,542.65,13581215,73386.61
02/06/2016,510.5,525,506.75,524.7,524.35,7013241,36214.62
01/06/2016,524.85,529.45,510,512.15,511.95,9559476,49668.1
31/05/2016,515,518.7,510.7,515.4,515.2,5706744,29373.26
30/05/2016,513.95,522.05,512.5,512.75,513.7,4892196,25312.14
27/05/2016,520.25,525,509,514,512.4,7699491,39738.69
26/05/2016,502.5,523,500.25,521.05,519,11207975,57249.63
25/05/2016,494,503,493.35,502,502.15,7144175,35732.88
24/05/2016,483.25,490.95,482,489.65,488.95,4838908,23577.94
23/05/2016,495.4,495.4,485,485.7,486.5,4700955,23071.88
