Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-02-10,45.7,46.1,45.1,45.15,45.3,1572246.0,714.64
2017-02-09,46.4,46.7,45.15,45.5,45.65,2981693.0,1365.65
2017-02-08,46.25,46.4,45.65,46.1,46.05,2607091.0,1201.68
2017-02-07,46.5,46.7,45.45,45.8,45.9,2909521.0,1342.16
2017-02-06,46.7,46.7,46.05,46.45,46.5,1858041.0,862.58
2017-02-03,45.0,47.15,44.95,46.0,46.1,4307925.0,1995.2
2017-02-02,45.3,45.6,44.85,45.25,45.1,2518346.0,1138.07
2017-02-01,44.8,45.5,43.7,45.1,45.3,3598038.0,1608.23
2017-01-31,45.5,46.2,44.6,44.7,44.8,4653422.0,2108.45
2017-01-30,44.1,46.4,43.95,45.5,45.55,4263459.0,1925.89
2017-01-27,44.1,45.2,43.95,44.45,44.45,2889389.0,1289.27
2017-01-25,44.15,44.3,43.65,44.0,44.0,1743082.0,766.03
2017-01-24,43.8,44.15,43.7,44.1,44.05,801093.0,352.05
2017-01-23,43.2,44.0,43.2,43.65,43.7,969117.0,423.43
2017-01-20,44.4,44.7,43.25,43.4,43.5,1888953.0,829.49
2017-01-19,44.3,44.55,43.8,44.55,44.45,1413122.0,625.57
2017-01-18,44.15,44.65,43.95,44.2,44.2,1302154.0,576.75
2017-01-17,44.2,44.7,43.6,44.05,44.05,1798045.0,791.09
2017-01-16,44.8,44.8,44.2,44.25,44.35,1084101.0,481.49
2017-01-13,46.0,46.0,44.55,44.7,44.8,2377747.0,1069.43
2017-01-12,44.5,45.75,43.95,45.2,45.25,4787636.0,2154.8
2017-01-11,44.0,44.65,43.8,44.45,44.5,2132310.0,943.52
2017-01-10,44.1,44.15,43.6,43.95,43.9,1259294.0,552.71
2017-01-09,44.0,44.25,43.4,43.75,43.8,1486066.0,649.65
2017-01-06,43.35,44.25,43.15,44.15,43.9,2511536.0,1096.49
2017-01-05,42.75,43.4,42.35,43.25,43.3,2061124.0,886.34
2017-01-04,42.0,42.6,41.9,42.5,42.45,2349076.0,991.82
2017-01-03,41.95,42.2,41.7,41.95,41.95,1437898.0,603.21
2017-01-02,41.2,42.05,41.1,41.95,41.9,1391461.0,577.97
2016-12-30,40.7,42.0,40.5,41.15,41.2,2041852.0,842.05
2016-12-29,40.0,40.65,40.0,40.55,40.4,3683573.0,1485.9
2016-12-28,40.1,40.7,39.95,40.15,40.1,1476993.0,595.81
