Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-02-10,82.0,83.0,81.0,82.15,81.6,7624409.0,6248.0
2017-02-09,82.0,82.5,80.55,81.65,81.6,3367729.0,2742.21
2017-02-08,81.3,82.4,81.0,81.7,81.65,3418339.0,2791.08
2017-02-07,82.45,82.6,80.7,81.3,81.2,2860747.0,2338.07
2017-02-06,81.05,82.5,80.85,82.2,82.25,2498815.0,2042.12
2017-02-03,81.05,82.0,80.25,80.7,80.65,2963991.0,2399.19
2017-02-02,80.7,82.0,79.45,80.7,80.45,2895268.0,2341.03
2017-02-01,80.1,80.8,79.0,80.45,80.5,2843799.0,2278.02
2017-01-31,80.5,82.75,79.4,79.6,79.8,5627724.0,4560.57
2017-01-30,81.0,81.8,80.25,80.55,80.55,1829020.0,1479.12
2017-01-27,80.2,81.5,80.1,81.2,81.0,2690791.0,2179.34
2017-01-25,80.05,81.3,79.3,80.0,80.1,5123965.0,4117.98
2017-01-24,77.65,80.4,77.6,79.9,79.9,2965222.0,2350.71
2017-01-23,77.5,78.55,77.3,77.55,77.55,4403351.0,3416.62
2017-01-20,79.0,79.35,77.15,77.6,77.55,2916442.0,2279.14
2017-01-19,79.25,79.55,78.5,79.15,79.3,4536872.0,3592.93
2017-01-18,78.05,79.15,77.9,78.6,78.65,2845239.0,2239.4
2017-01-17,78.15,78.5,77.45,77.85,77.85,1536443.0,1196.88
2017-01-16,79.5,79.65,77.55,77.7,77.75,2584541.0,2025.46
2017-01-13,80.0,80.2,78.65,79.1,79.3,4239234.0,3366.14
2017-01-12,77.0,80.25,77.0,79.15,79.3,10133269.0,8010.15
2017-01-11,77.9,77.95,76.7,76.8,76.85,2098665.0,1618.45
2017-01-10,76.3,77.35,76.3,76.85,77.1,2121660.0,1632.8
2017-01-09,77.4,77.4,76.25,76.35,76.4,1185572.0,907.51
2017-01-06,77.4,77.8,76.8,77.35,77.1,2891404.0,2233.43
2017-01-05,76.1,77.0,76.0,76.95,76.85,2567580.0,1963.17
2017-01-04,75.8,76.7,75.35,75.6,75.8,2803996.0,2130.01
2017-01-03,75.8,76.35,75.05,75.7,75.65,2334237.0,1767.14
2017-01-02,75.9,76.3,75.2,75.6,75.4,2053581.0,1552.78
2016-12-30,76.2,78.05,75.0,75.7,75.9,5312629.0,4057.37
2016-12-29,73.95,75.95,73.5,75.4,75.15,2634432.0,1967.91
2016-12-28,73.7,74.95,73.65,73.85,73.9,1410555.0,1048.33
2016-12-27,73.5,73.9,72.85,73.65,73.6,1190912.0,872.7
2016-12-26,73.8,74.25,73.3,73.35,73.5,2706384.0,1996.25
2016-12-23,75.5,75.5,72.55,74.2,73.95,3375465.0,2492.69
