Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
07/11/2016,2337.9,2344.9,2260.05,2266,2277.05,1024026,23515.96
04/11/2016,2320,2336.15,2294,2330,2330.55,591876,13690.87
03/11/2016,2294,2335,2284.5,2320,2319.45,731655,16938.92
02/11/2016,2341,2344,2295,2298.75,2304.05,1162538,26913.31
01/11/2016,2399.7,2399.7,2334.15,2359.05,2350,1467388,34801.53
30/10/2016,2398.7,2408.95,2382,2390.05,2391.05,42676,1021.55
28/10/2016,2410,2415.1,2388,2398,2398.7,876051,21026.43
27/10/2016,2379.7,2429.5,2365.5,2401.1,2418.1,1470801,35268.1
26/10/2016,2398.6,2402.75,2372.5,2383,2396.25,718565,17157.89
25/10/2016,2405,2414.6,2381,2400,2398.45,886233,21278.66
24/10/2016,2428.2,2434.9,2402.55,2433,2427.7,626595,15163.51
21/10/2016,2400,2431.9,2398.25,2430,2428.65,629830,15241.92
20/10/2016,2396.9,2409.35,2386,2403,2401.15,632927,15183.12
19/10/2016,2401,2410,2370.3,2390,2395.1,992529,23700.39
18/10/2016,2376,2415.7,2354.8,2398.6,2400.2,1064316,25323.75
17/10/2016,2368.9,2375.8,2344.4,2374.95,2362.45,1364173,32216.32
14/10/2016,2315,2387,2291,2370.6,2366.2,3870607,90727.67
13/10/2016,2363.3,2369.9,2320.9,2334,2328.9,2586667,60466.75
10/10/2016,2369.9,2386.9,2355.05,2380,2380.3,601071,14257.81
07/10/2016,2388,2388,2358.2,2370,2367.8,908256,21500.8
06/10/2016,2395,2402.4,2372.75,2386.85,2388.75,1133786,27043.91
05/10/2016,2408,2415.4,2376.1,2386,2386.35,588177,14054.42
04/10/2016,2420,2425.05,2398,2407,2405.15,890359,21442.94
03/10/2016,2450,2457.65,2401.1,2407.5,2411.7,909440,21982.2
30/09/2016,2437.05,2449.8,2423.1,2432.2,2430.8,1087682,26458.42
29/09/2016,2435,2456.5,2419.6,2437,2437.8,1801979,43894.8
28/09/2016,2431,2437.5,2415.2,2425,2423.05,865664,20982.67
27/09/2016,2401.1,2448,2401.1,2437,2436.1,1019396,24818.15
26/09/2016,2401.1,2419.1,2395,2395.1,2401.1,876738,21109.51
23/09/2016,2382,2403.85,2371.15,2400,2398.1,900363,21556.62
22/09/2016,2425.25,2428,2371.1,2380,2378,1428787,34179.32
21/09/2016,2407.7,2424,2400.7,2412,2413.4,839010,20243.42
20/09/2016,2411,2416.9,2385.4,2410,2406.5,592276,14208.97
19/09/2016,2365,2427,2350,2411,2411.45,1401273,33715.15
16/09/2016,2336.7,2376,2320,2368,2361.7,2179002,51120.9
15/09/2016,2339.95,2342.1,2316.75,2325,2326.95,1409482,32798.96
14/09/2016,2362,2377.6,2310,2332,2328.45,1034929,24120.58
12/09/2016,2337,2363.95,2324,2358,2359.05,1012227,23837.8
09/09/2016,2329.7,2366.65,2320.05,2352,2352.45,1371219,32193.7
08/09/2016,2360,2360,2284.75,2327.7,2322.1,3510758,81207.74
07/09/2016,2499.7,2499.7,2423,2452.1,2440.55,1927020,47477.59
06/09/2016,2519.9,2520.15,2480,2484.7,2484.05,1119533,27899.23
02/09/2016,2512,2519.4,2496.05,2511,2514.8,871165,21866.19
01/09/2016,2524.9,2534.95,2487.05,2507.25,2507.5,672868,16871.05
31/08/2016,2550,2550,2500.85,2514.7,2511.3,1615834,40723.74
30/08/2016,2510,2549.8,2501.25,2544.9,2544.15,722013,18241.67
29/08/2016,2534.95,2534.95,2466.75,2508,2500.55,744364,18530.92
26/08/2016,2559.8,2572.55,2517.2,2527.25,2524.95,625157,15859.06
25/08/2016,2580,2589.7,2526,2550.35,2551.05,969845,24730.29
24/08/2016,2589.8,2602,2569.05,2570.65,2572.05,558439,14405.93
23/08/2016,2544.95,2604.95,2540.2,2600.4,2601.05,751687,19494.29
22/08/2016,2588,2594.45,2536.3,2553.5,2548.7,1132637,29019.78
19/08/2016,2640,2646.45,2600,2602.6,2603.5,1208122,31540.28
18/08/2016,2635,2657.55,2630.1,2631,2638.55,646032,17111.07
17/08/2016,2699,2699,2618,2628,2624.55,924283,24415.37
16/08/2016,2738,2740,2673.85,2700,2691.7,1591877,43127.76
12/08/2016,2705,2744.8,2702.05,2740,2738.45,1163679,31801.76
11/08/2016,2665.55,2715,2665.55,2706.85,2709.9,1116569,30175.07
10/08/2016,2651,2682,2648,2676,2675.4,1031039,27548.08
09/08/2016,2658,2659.8,2578.85,2654.45,2650.2,1130957,29923.03
08/08/2016,2640,2668,2629.05,2655,2649.5,1029122,27290.6
05/08/2016,2673.9,2684.3,2632,2643.45,2649.1,934242,24825.22
04/08/2016,2670,2682.95,2636.25,2658,2652,707708,18797.62
03/08/2016,2686,2699,2649.05,2649.05,2656.3,1147351,30593.57
02/08/2016,2702.9,2715.7,2689.8,2703.8,2699.2,1289081,34839.35
01/08/2016,2632,2725,2632,2702.6,2708.25,1980852,53417.17
29/07/2016,2614,2634.9,2599,2624.9,2619.3,1244042,32579.01
28/07/2016,2580.5,2629.55,2577.05,2614.2,2619.25,2316040,60257.27
27/07/2016,2555,2580.4,2545,2578,2577.55,875255,22495.14
26/07/2016,2558.95,2568,2533,2550,2552.6,1155645,29443.63
25/07/2016,2512,2563.2,2505.8,2555,2558.95,844398,21446.39
22/07/2016,2498.9,2524,2492,2514.95,2515.1,758608,19044.87
21/07/2016,2489.5,2519.5,2464.45,2506,2506.05,1263574,31489.24
20/07/2016,2450,2502.5,2448.15,2493,2494.95,1407626,35027.09
19/07/2016,2427.5,2472.8,2427.5,2466,2466.2,1181448,28973.73
18/07/2016,2447,2469,2430.6,2431.15,2433.45,1299425,31766.42
15/07/2016,2517,2527.8,2426.55,2445,2445.35,4168183,102712.19
14/07/2016,2486,2529,2471,2520,2521.9,1349994,33837.03
13/07/2016,2478,2499.25,2451.25,2485,2493.1,1051150,26127.36
12/07/2016,2471.7,2475,2435.85,2463.5,2464.95,732768,18002.5
11/07/2016,2430,2471.8,2427,2469,2464.15,771816,18949.4
08/07/2016,2435,2442.05,2403.5,2430.1,2426.6,1228178,29794.2
07/07/2016,2487.7,2491.85,2425,2428,2429.8,1658400,40665.89
05/07/2016,2494.2,2497.05,2477.15,2480.2,2485.3,779874,19387.17
04/07/2016,2516,2525.85,2482,2485.35,2494.2,941742,23618.13
01/07/2016,2562,2564.6,2494.35,2498.75,2500.85,1098648,27759.11
30/06/2016,2522,2562.9,2500.35,2548.05,2553.1,2560906,64863.14
29/06/2016,2475,2512.5,2465.3,2500,2502.9,1265632,31503.12
28/06/2016,2495.85,2502.9,2458.4,2464,2463.95,2249762,55774.25
27/06/2016,2547,2547,2482.65,2496.7,2495.85,2136283,53389.93
24/06/2016,2565.15,2593.2,2514.15,2568,2573.95,1883293,48196.31
23/06/2016,2655,2659.5,2625.3,2644.45,2645.35,698507,18460.03
22/06/2016,2650,2677.7,2631.75,2661.05,2667.65,880856,23432.05
21/06/2016,2663.5,2665,2641.4,2646,2651.2,513845,13617.28
20/06/2016,2602.6,2668,2591.8,2657,2659.3,936419,24787.79
17/06/2016,2559,2610,2559,2600,2602.6,939494,24333.37
16/06/2016,2545.55,2564.7,2516.45,2557,2558.3,572535,14541.14
15/06/2016,2530,2564.9,2522,2558.5,2556.85,635422,16144.92
14/06/2016,2558.95,2558.95,2518.25,2540,2534.85,488785,12373.44
13/06/2016,2540,2553.35,2518,2545.25,2547,514989,13071.71
10/06/2016,2566,2603.25,2553.2,2554,2555.75,698416,17960.98
09/06/2016,2622.4,2622.4,2555.2,2581.9,2577.25,781069,20160.43
08/06/2016,2617.25,2628.55,2605.5,2615,2613.1,469133,12271.42
07/06/2016,2614,2639,2613,2631.6,2631.15,601097,15800.55
06/06/2016,2620.5,2639,2603.2,2610,2612.5,661013,17309.2
03/06/2016,2651.4,2658,2620.5,2628,2629.55,777461,20461.79
02/06/2016,2600,2654.3,2600,2654,2650.15,704378,18566.99
01/06/2016,2571.2,2645,2571,2633.9,2633.55,955971,25094.71
31/05/2016,2640,2647,2562,2567.5,2569.4,1861304,48047.09
30/05/2016,2583,2641.95,2582,2636.05,2636.4,674732,17661.12
27/05/2016,2553.15,2579.85,2550.6,2577,2572.65,552338,14178.15
26/05/2016,2530,2564.9,2505.1,2560,2548.7,971624,24652.03
25/05/2016,2481,2532.95,2481,2520.95,2526.45,774339,19467.84
24/05/2016,2484,2488.25,2459.6,2468.6,2467.7,669579,16522.76
23/05/2016,2544,2545.9,2480.2,2483,2491.45,766508,19240.37
20/05/2016,2542.3,2565.8,2522.8,2529.9,2529.3,615459,15650.58
19/05/2016,2555,2560,2526.1,2555,2556.95,519396,13236.92
18/05/2016,2565.85,2565.85,2526.05,2553,2551.1,750370,19084.12
17/05/2016,2564.2,2591.25,2552,2570,2570.2,878349,22598.58
16/05/2016,2538,2564.8,2522.5,2552.75,2551.15,555763,14135.23
13/05/2016,2565,2566,2510.15,2525,2523.4,810865,20517.19
12/05/2016,2520.55,2569.9,2520.55,2566,2566.2,756541,19325.91
11/05/2016,2500,2525.6,2490,2524.8,2518.3,799358,20096.48
10/05/2016,2515,2533.95,2496,2522.9,2522.9,579267,14572.24
09/05/2016,2473.4,2518,2456.4,2514.6,2512.55,910638,22758.85
06/05/2016,2465,2484.3,2431,2479,2473.4,442799,10877.79
05/05/2016,2478,2489.95,2463.55,2469.3,2470.3,623283,15410.49
04/05/2016,2473.9,2494.05,2457,2478,2478,682446,16872.77
03/05/2016,2525,2530,2472,2473.9,2478.1,1076559,26872.84
02/05/2016,2529,2530,2500,2525.1,2526.7,558346,14049.47
29/04/2016,2517,2542,2510,2540.1,2535.5,1186089,29998.74
28/04/2016,2501.3,2540,2498.1,2527,2527.75,2496372,63060.21
27/04/2016,2480,2514.6,2475.9,2511.5,2511.1,924335,23129.81
26/04/2016,2449,2493.5,2442,2488,2489.8,1277184,31592.55
25/04/2016,2402.3,2457.05,2402.3,2453,2451.25,1133827,27683.89
22/04/2016,2419,2435.4,2404.2,2423.4,2417.05,982063,23768.31
21/04/2016,2451,2467.4,2412.2,2418.2,2424.4,1262862,30816.73
20/04/2016,2534.9,2534.9,2440,2453,2450.35,3202512,79169.58
18/04/2016,2453,2553.5,2440,2522.4,2519.75,3560752,88867.6
13/04/2016,2530,2545,2512.5,2528,2526.2,800734,20217.37
12/04/2016,2498,2525,2488.1,2520.05,2518.15,651814,16313.15
11/04/2016,2433,2517,2413,2506.05,2506.65,1200324,29488.46
08/04/2016,2466,2473.7,2427,2432,2432.05,699750,17063.55
07/04/2016,2480,2484.7,2457,2466.25,2470.8,1195471,29536.4
06/04/2016,2470,2489,2459.35,2481,2481.9,881575,21842.55
05/04/2016,2470.8,2484.9,2442.05,2460,2462.75,745897,18347
04/04/2016,2456,2488,2447,2476.4,2471.25,876176,21576.34
01/04/2016,2505,2520.85,2434.1,2458,2453.9,1520700,37530.29
31/03/2016,2478.3,2550,2472.15,2530,2520.3,2181982,54777.53
30/03/2016,2470.9,2505,2460,2490,2489.5,1068252,26601.39
29/03/2016,2478,2486.95,2455,2462.4,2469.4,919398,22732.05
28/03/2016,2491,2517.15,2461.55,2476,2473.4,1660441,41145.83
23/03/2016,2487.9,2487.9,2457.3,2479.6,2473.8,1139217,28173.12
22/03/2016,2442,2485,2436.5,2470.65,2473.1,975992,23972.4
21/03/2016,2426,2454.95,2420,2449.05,2446.25,1168491,28449.19
18/03/2016,2360,2430,2360,2421.4,2425.85,1602035,38586.69
17/03/2016,2334,2361.8,2332,2349,2352.05,1110544,26073.91
16/03/2016,2315,2332,2306.9,2323.55,2327.05,959123,22253.15
15/03/2016,2349.05,2363.5,2320.1,2330.25,2329.9,811678,18938.65
14/03/2016,2362,2398,2340,2346.1,2355,818371,19324.84
11/03/2016,2340,2390.85,2335,2360,2365.25,765264,18131.61
10/03/2016,2356.05,2359.85,2314.95,2347,2348.3,830833,19352.29
09/03/2016,2341,2369.4,2295.15,2360,2357.25,1008892,23473.66
08/03/2016,2342.1,2367,2304.2,2351,2354.3,634076,14855.47
04/03/2016,2380,2380,2349.55,2369.85,2357.55,756483,17872.09
03/03/2016,2336,2391,2301,2369.4,2373.15,1324142,31201.1
02/03/2016,2305,2330,2256.25,2320.1,2318.85,763743,17480.82
01/03/2016,2193,2285.1,2162,2281,2276.65,999880,22575.17
29/02/2016,2237,2237,2115,2172,2176.8,1095859,23943.99
26/02/2016,2229.7,2256.9,2199.6,2219.9,2210.5,768768,17051.54
25/02/2016,2219.8,2228,2185.65,2224.2,2212.85,915278,20180.49
24/02/2016,2262.45,2262.45,2201.2,2216,2210.95,829664,18504.52
23/02/2016,2310.25,2319.9,2256.75,2258.1,2264,653426,14880.24
22/02/2016,2320.25,2343,2305,2325,2315.9,662442,15435.33
19/02/2016,2307.35,2327,2305.45,2314.9,2319.65,439506,10185.34
18/02/2016,2285,2319.75,2278,2312.1,2315.85,764570,17593.39
17/02/2016,2265,2279.65,2246.4,2279.65,2275.55,792589,17954.55
16/02/2016,2266,2282,2243,2262.5,2265.55,794351,17954.56
15/02/2016,2250,2306.85,2240,2262,2269.15,1239856,28244.8
12/02/2016,2200,2243.4,2164,2226.3,2226.6,1086284,24055.41
11/02/2016,2280,2289,2171.65,2179.35,2197.95,981204,21893.32
10/02/2016,2275,2289.9,2258.1,2283,2268.8,945366,21473.78
09/02/2016,2333.6,2333.6,2255.6,2280.7,2281.4,1244805,28339.78
08/02/2016,2400,2412.05,2347,2354.3,2362.95,531829,12684.17
05/02/2016,2408.1,2439.95,2408.1,2424,2421.95,701498,17018.26
04/02/2016,2421.9,2440,2402,2423,2420.05,625023,15125.52
03/02/2016,2387.5,2429.9,2360.3,2424.8,2416.3,654346,15719.96
02/02/2016,2409,2433,2379.7,2382,2398.1,737794,17821.75
01/02/2016,2391.1,2412.95,2359,2395.35,2402.7,747637,17965.24
29/01/2016,2358.7,2400,2335.05,2386.1,2391.3,1117872,26520.58
28/01/2016,2315.5,2348.9,2308.05,2345,2331.2,1553330,36257.95
27/01/2016,2302,2329.95,2281.9,2317,2319.75,813493,18846.49
25/01/2016,2301.9,2339,2291.5,2301.7,2304.65,698780,16195.18
22/01/2016,2273,2302.05,2260,2290,2295.75,671589,15381.22
21/01/2016,2285,2289.9,2245.75,2258,2254.5,1337768,30217.16
20/01/2016,2273.8,2285,2243,2280,2280.1,807977,18327.52
19/01/2016,2277,2300,2268.3,2288,2279.3,483955,11020.9
18/01/2016,2262,2291.9,2260,2280,2277.65,1106961,25255.15
15/01/2016,2288.85,2291.7,2255,2265.25,2261.1,1634704,37070.78
14/01/2016,2273,2298.9,2250,2280.05,2278.8,1371026,31262.31
13/01/2016,2317,2327,2255.1,2280,2279.2,2373046,54199.74
12/01/2016,2362.7,2365,2301.6,2317,2327.05,1741297,40496.99
11/01/2016,2382.5,2384,2348.85,2362.8,2362.35,1465114,34600.59
08/01/2016,2385,2407.35,2372.5,2400.8,2397.6,953772,22853.14
07/01/2016,2370,2382.9,2360,2379,2371.25,1599790,37878.37
06/01/2016,2350.2,2386.15,2350.2,2382,2381.6,1326614,31496.27
05/01/2016,2385,2386.6,2341,2349.85,2348.95,1339010,31514.09
04/01/2016,2410.15,2414,2366.05,2373,2369.6,935092,22271.61
01/01/2016,2439,2439,2412.25,2414.1,2416.4,356131,8631.65
31/12/2015,2415.75,2448.5,2407.5,2430,2436.85,620159,15063.03
30/12/2015,2453.05,2459,2412.3,2421.7,2418.3,802881,19606.82
29/12/2015,2458.35,2465.3,2445.75,2449.35,2455.8,854262,20948.75
28/12/2015,2428,2466.4,2420.2,2456.95,2462.7,1852099,45468.96
24/12/2015,2421,2438.2,2404,2435,2434.25,421580,10219.24
23/12/2015,2415,2435,2410.55,2418.8,2425.8,424917,10304.49
22/12/2015,2440,2440,2400,2407,2405.05,780429,18834.3
21/12/2015,2419.95,2450,2406.85,2443,2446.4,805052,19549.89
18/12/2015,2420,2434.2,2400.65,2409.8,2416.8,1512485,36541.98
17/12/2015,2415,2445,2393.35,2434.1,2439.75,809422,19576.47
16/12/2015,2384,2414.5,2384,2407.5,2408.4,717967,17246.09
15/12/2015,2378.45,2385,2363.05,2379.5,2375.85,567934,13488.59
14/12/2015,2335.2,2387,2330.6,2375,2378.45,1359266,32144.43
11/12/2015,2383,2391.95,2363.25,2383.15,2386,826189,19697.46
10/12/2015,2369,2391.2,2352,2380.95,2384.55,861994,20470.84
09/12/2015,2337.9,2372.8,2320,2370,2367.65,2641403,62369.54
08/12/2015,2319.4,2349,2317.3,2326.25,2329,569982,13297.39
07/12/2015,2332.2,2343.9,2315.25,2321,2319.8,691302,16053.9
04/12/2015,2340,2347.3,2321.1,2330,2328.4,623046,14517.47
03/12/2015,2360,2373,2347,2350,2350.75,1141679,26904.68
02/12/2015,2378,2378.1,2346.5,2367,2365.2,820148,19378.96
01/12/2015,2362.9,2378.05,2357.05,2359.75,2361.9,860997,20352.67
30/11/2015,2365,2391.25,2350.15,2373.55,2364.7,2050024,48487.45
27/11/2015,2348,2359.45,2332.5,2354.95,2353.35,868603,20400.86
26/11/2015,2377.9,2382.4,2337.85,2346,2345.55,1457646,34335.09
24/11/2015,2380.05,2392.45,2365.5,2366,2367.95,499320,11876.95
23/11/2015,2405.3,2413.4,2382.25,2389.3,2391.05,544041,13044.05
20/11/2015,2366.5,2423.55,2361.95,2394.5,2398.35,1006063,24177.9
19/11/2015,2365.35,2381.6,2352,2367,2362.55,933453,22086.81
18/11/2015,2388.9,2388.9,2346,2349.65,2351.45,760176,17927.17
17/11/2015,2380.5,2398.45,2375,2390,2390.55,992514,23679.89
16/11/2015,2390,2390,2356,2376,2374.6,1021764,24232.38
13/11/2015,2438.05,2438.05,2386.55,2396,2397.4,1371616,32991.55
11/11/2015,2475,2475,2450,2472,2468.8,67582,1667.55
10/11/2015,2472.95,2477,2450,2455,2458.15,680960,16774.08
09/11/2015,2495,2502.75,2468.6,2474,2471.35,1010778,25045.9
06/11/2015,2492,2518.25,2483.45,2505.2,2505.75,454012,11384.53
05/11/2015,2530.8,2534.95,2480,2485,2482.65,798049,19926.77
04/11/2015,2545,2547.2,2520,2526.75,2533.8,495717,12552.9
03/11/2015,2528,2547.8,2518.5,2538.85,2543.45,682453,17313.03
02/11/2015,2500,2522.8,2487.55,2518,2517.35,659647,16543.69
30/10/2015,2500,2511.9,2485,2500,2495.2,758348,18927.87
29/10/2015,2533.55,2535.4,2490.05,2496,2495.35,1565158,39129.86
28/10/2015,2510.05,2533.55,2510.05,2528,2529.1,627671,15843.12
27/10/2015,2530.05,2544.9,2520.35,2528.9,2531.1,765210,19370.67
26/10/2015,2549,2549,2515.1,2540,2536.55,707315,17896.22
23/10/2015,2548,2548,2527.3,2536.95,2537.15,1167699,29597.13
21/10/2015,2535,2542,2522.25,2526,2530,964844,24434.49
20/10/2015,2496.25,2530,2495.6,2523.2,2526.75,1347542,33970.9
19/10/2015,2490,2494.95,2455.85,2493.95,2488.75,1565321,38724.5
16/10/2015,2480.9,2492,2470,2472,2473.75,1166914,28914.52
15/10/2015,2490,2503.5,2465,2468.8,2467.75,1607855,39845.12
14/10/2015,2548,2548,2480,2480.9,2483.7,4168564,104322.2
13/10/2015,2602.8,2612,2567.6,2586.85,2598.55,3089856,80015.36
12/10/2015,2655,2660.35,2587,2597.7,2592.6,1227956,32076.25
09/10/2015,2650.5,2650.6,2608,2630,2629.65,1124862,29570.73
08/10/2015,2670,2678.35,2620,2631.9,2633.8,1178775,31150.49
07/10/2015,2693.95,2717,2646.95,2655,2653.95,1032765,27657.31
06/10/2015,2725,2726,2684,2686.2,2700,1989795,53821.89
05/10/2015,2652.7,2770,2652.7,2719.9,2711.65,2403653,65172.48
01/10/2015,2599,2649.95,2592.2,2641.1,2644.6,1417204,37279.14
30/09/2015,2643.7,2643.7,2570.95,2585,2588.05,1684168,43552.27
29/09/2015,2583.35,2634,2569.85,2592,2588.25,1662976,43299.46
28/09/2015,2594,2619,2579.5,2600,2593.7,1183406,30808.21
